Event,Value,Timestamp
dialogue_change,start_experiment,
collision,1,00:54
dialogue_change,collision_1,00:54
button_reposnse,A2@d_key=None,00:54
collision,1,00:58
dialogue_change,collision_3,00:58
anomally,2,00:58
button_reposnse,A2@d_key=None,00:58
button_reposnse,A2@d_key=None,00:58
dialogue_change,emergency,00:58
anomally,2,01:12
anomally,2,01:12
dialogue_change,emergency,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
anomally,2,01:12
anomally,2,01:12
dialogue_change,emergency,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
button_reposnse,A1@d_key=None,01:12
anomally,2,01:12
