Event,Value,Timestamp
new_round,sociality=False@tutorial=True@practice=True,
dialogue_change,start_experiment,
new_round,sociality=False@tutorial=True@practice=False,
dialogue_change,intro_1,
new_round,sociality=False@tutorial=True@practice=False,
dialogue_change,intro_1,
button_reposnse,A1@d_key=intro_1,
dialogue_change,intro_2,
button_reposnse,A1@d_key=intro_2,0
dialogue_change,intro_3,0
button_reposnse,A2@d_key=intro_3,0
dialogue_change,intro_4,0
button_reposnse,A2@d_key=intro_4,0
dialogue_change,intro_5,0
button_reposnse,A1@d_key=intro_5,0
dialogue_change,intro_6,0
button_reposnse,A1@d_key=intro_6,0
dialogue_change,intro_7,0
button_reposnse,A1@d_key=intro_7,0
dialogue_change,timer_1,0
button_reposnse,A2@d_key=timer_1,8
dialogue_change,camera,8
button_reposnse,A2@d_key=camera,18
dialogue_change,control_1,18
button_reposnse,A1@d_key=control_1,37
dialogue_change,control_2,37
button_reposnse,A1@d_key=control_2,49
dialogue_change,control_3,49
button_reposnse,A1@d_key=control_3,54
collision,'1',64
dialogue_change,collision_1,64
button_reposnse,A1@d_key=collision_1,64
collision,'1',97
dialogue_change,collision_2,97
button_reposnse,A1@d_key=collision_2,97
collision,'1',115
dialogue_change,collision_3,115
button_reposnse,A1@d_key=collision_3,115
collision,'1',121
dialogue_change,collision_2,121
button_reposnse,A1@d_key=collision_2,121
collision,'1',146
dialogue_change,collision_2,146
button_reposnse,A1@d_key=collision_2,146
collision,'1',164
dialogue_change,collision_1,164
button_reposnse,A1@d_key=collision_1,164
collision,'1',171
dialogue_change,collision_3,171
button_reposnse,A1@d_key=collision_3,171
paper,0,207
dialogue_change,paper,207
button_reposnse,A1@d_key=paper,223
collision,'1',260
dialogue_change,collision_1,260
button_reposnse,A1@d_key=collision_1,260
anomally,'2',266
dialogue_change,emergency,268
anomally,'2',268
paper,0,271
dialogue_change,paper,271
button_reposnse,A1@d_key=paper,294
anomally,'2',313
dialogue_change,emergency,314
button_reposnse,A1@d_key=emergency,314
paper,0,314
dialogue_change,paper,314
anomally,'2',314
button_reposnse,A1@d_key=emergency,314
dialogue_change,code_check_1,443
anomally,'2',479
dialogue_change,emergency,480
new_round,sociality=False@tutorial=False@practice=False,
dialogue_change,start_experiment,
collision,'1',95
dialogue_change,collision_3,95
button_reposnse,A1@d_key=collision_3,95
