Event,Value,Timestamp
task_advance,1,00:31
thrshldpsscntdngrttl_nrml,1,00:56
task_advance,2,01:31
danger_zone_start,ai_handler,01:41
thrshldpsscntttl_dngr,1,01:56
ai_incorrectlogging,1,01:56
stppsscount_dngr,1,01:56
thrshldpsscntttl_dngr,1,02:06
ai_incorrectlogging,2,02:06
stppsscount_dngr,1,02:06
thrshldpsscntttl_dngr,1,02:16
ai_incorrectlogging,3,02:16
stppsscount_dngr,1,02:16
thrshldpsscntttl_dngr,2,02:26
ai_incorrectlogging,4,02:26
stppsscount_dngr,2,02:26
thrshldpsscntttl_dngr,3,02:41
ai_incorrectlogging,5,02:41
stppsscount_dngr,3,02:41
thrshldpsscntttl_dngr,2,02:51
ai_incorrectlogging,6,02:51
stppsscount_dngr,2,02:51
task_advance,3,02:58
ai_correctlogging,1,03:12
ai_correctlogging,2,03:36
task_advance,4,03:48
ai_correctlogging,3,03:51
danger_zone_end,ai_handler,03:58
task_advance,5,05:00
task_advance,6,05:49
danger_zone_start,operator_handler,05:59
thrshldpsscntttl_dngr,3,06:14
thrshldpsscntttl_dngr,4,06:31
stppsscount_dngr,3,06:32
task_advance,7,06:37
thrshldpsscntttl_dngr,2,07:02
stppsscount_dngr,2,07:04
stppsscount_dngr,3,07:06
task_advance,8,07:48
danger_zone_end,operator_handler,08:04
thrshldpsscntdngrttl_nrml,2,08:46
stppsscount_nrml,1,08:47
CHOICE,NO,08:55
task_advance,9,11:40
wrong_entry,N/A,13:24
thrshldpsscntdngrttl_nrml,3,13:41
task_advance,10,14:00
danger_zone_start,operator_handler,14:10
thrshldpsscntttl_dngr,4,14:25
task_advance,11,14:54
collision,1,16:19
task_advance,12,17:37
danger_zone_end,operator_handler,17:47
duplicated_entry,N/A,19:02
duplicated_entry,N/A,20:14
duplicated_entry,N/A,21:11
thrshldpsscntdngrttl_nrml,4,22:41
duplicated_entry,N/A,23:15
duplicated_entry,N/A,24:00
thrshldpsscntdngrttl_nrml,5,24:48
duplicated_entry,N/A,25:46
duplicated_entry,N/A,26:30
thrshldpsscntdngrttl_nrml,6,26:55
task_advance,13,27:37
end,N/A,27:37
