Event,Value,Timestamp
dialogue_change,intro_1,
button_reposnse,A2@d_key=None,
dialogue_change,intro_2,
button_reposnse,A2@d_key=None,
dialogue_change,intro_3,
button_reposnse,A2@d_key=None,
dialogue_change,intro_4,
button_reposnse,A2@d_key=None,
dialogue_change,intro_5,
button_reposnse,A2@d_key=None,
dialogue_change,intro_6,
button_reposnse,A2@d_key=None,
dialogue_change,intro_7,
button_reposnse,A2@d_key=None,
dialogue_change,timer_1,
button_reposnse,A2@d_key=None,00:08
dialogue_change,camera,00:08
collision,1,00:15
dialogue_change,collision_2,00:15
button_reposnse,A2@d_key=None,00:15
button_reposnse,A2@d_key=None,00:17
dialogue_change,control_1,00:17
collision,1,00:21
dialogue_change,collision_3,00:21
button_reposnse,A2@d_key=None,00:21
collision,1,00:22
dialogue_change,collision_2,00:22
button_reposnse,A1@d_key=None,00:22
collision,1,00:32
dialogue_change,collision_2,00:32
button_reposnse,A2@d_key=None,00:32
paper,0,00:36
dialogue_change,paper,00:36
dialogue_change,code_check_1,01:05
button_reposnse,A2@d_key=None,01:06
button_reposnse,A2@d_key=None,01:06
dialogue_change,end_tutorial,01:06
button_reposnse,A2@d_key=None,01:06
dialogue_change,end,01:06
