Event,Value,Timestamp
task_advance,1,01:00
task_advance,2,01:41
danger_zone_start,operator_handler,01:51
thrshldpsscntttl_dngr,1,03:27
thrshldpsscntttl_dngr,2,03:48
task_advance,3,03:57
danger_zone_end,operator_handler,04:07
task_advance,4,05:07
task_advance,5,06:08
danger_zone_start,ai_handler,06:19
ai_correctlogging,1,06:29
ai_correctlogging,2,06:29
thrshldpsscntttl_dngr,1,06:31
ai_incorrectlogging,1,06:31
ai_correctlogging,3,06:40
ai_correctlogging,4,06:41
thrshldpsscntttl_dngr,1,06:43
ai_incorrectlogging,2,06:43
ai_correctlogging,5,06:50
ai_correctlogging,6,06:50
stppsscount_dngr,1,06:57
thrshldpsscntttl_dngr,3,07:01
ai_incorrectlogging,3,07:01
ai_correctlogging,7,07:01
ai_correctlogging,8,07:10
ai_correctlogging,9,07:11
ai_correctlogging,10,07:11
ai_correctlogging,11,07:20
ai_correctlogging,12,07:21
ai_correctlogging,13,07:24
ai_correctlogging,14,07:31
ai_correctlogging,15,07:31
ai_correctlogging,16,07:38
ai_correctlogging,17,07:41
ai_correctlogging,18,07:41
ai_correctlogging,19,07:50
ai_correctlogging,20,07:51
ai_correctlogging,21,07:52
ai_correctlogging,22,08:01
ai_correctlogging,23,08:02
ai_correctlogging,24,08:05
ai_correctlogging,25,08:11
ai_correctlogging,26,08:12
ai_correctlogging,27,08:19
ai_correctlogging,28,08:20
ai_correctlogging,29,08:22
ai_correctlogging,30,08:31
ai_correctlogging,31,08:32
ai_correctlogging,32,08:32
task_advance,6,08:38
ai_correctlogging,33,08:41
ai_correctlogging,34,08:43
ai_correctlogging,35,08:46
ai_correctlogging,36,08:50
ai_correctlogging,37,08:53
danger_zone_end,ai_handler,08:53
CHOICE,YES,09:23
thrshldpsscntdngrttl_nrml,1,09:38
stppsscount_nrml,1,09:39
task_advance,7,10:36
thrshldpsscntdngrttl_nrml,2,11:10
task_advance,8,11:35
danger_zone_start,ai_handler,11:45
ai_correctlogging,38,11:56
ai_correctlogging,39,11:56
ai_correctlogging,40,11:56
thrshldpsscntttl_dngr,4,12:07
ai_incorrectlogging,4,12:07
thrshldpsscntttl_dngr,2,12:08
ai_incorrectlogging,5,12:08
ai_correctlogging,41,12:11
stppsscount_dngr,1,12:18
stppsscount_dngr,1,12:19
thrshldpsscntttl_dngr,2,12:27
ai_incorrectlogging,6,12:27
ai_correctlogging,42,12:28
ai_correctlogging,43,12:29
ai_correctlogging,44,12:38
ai_correctlogging,45,12:38
ai_correctlogging,46,12:42
ai_correctlogging,47,12:49
ai_correctlogging,48,12:49
ai_correctlogging,49,12:57
ai_correctlogging,50,12:59
ai_correctlogging,51,12:59
ai_correctlogging,52,13:08
ai_correctlogging,53,13:09
ai_correctlogging,54,13:12
ai_correctlogging,55,13:19
ai_correctlogging,56,13:19
duplicated_entry,N/A,13:25
ai_correctlogging,57,13:27
ai_correctlogging,58,13:29
ai_correctlogging,59,13:29
ai_correctlogging,60,13:38
ai_correctlogging,61,13:40
ai_correctlogging,62,13:42
ai_correctlogging,63,13:49
ai_correctlogging,64,13:50
ai_correctlogging,65,13:57
ai_correctlogging,66,13:59
ai_correctlogging,67,14:00
ai_correctlogging,68,14:08
ai_correctlogging,69,14:10
ai_correctlogging,70,14:12
ai_correctlogging,71,14:19
ai_correctlogging,72,14:20
ai_correctlogging,73,14:27
ai_correctlogging,74,14:29
ai_correctlogging,75,14:31
ai_correctlogging,76,14:38
ai_correctlogging,77,14:41
ai_correctlogging,78,14:42
ai_correctlogging,79,14:49
ai_correctlogging,80,14:51
danger_zone_end,ai_handler,14:56
thrshldpsscntdngrttl_nrml,3,16:25
thrshldpsscntdngrttl_nrml,4,18:41
stppsscount_nrml,2,18:42
stppsscount_nrml,3,18:43
stppsscount_nrml,4,18:43
stppsscount_nrml,5,18:44
stppsscount_nrml,6,18:45
stppsscount_nrml,7,18:46
stppsscount_nrml,8,18:46
task_advance,9,18:58
end,N/A,19:59
thrshldpsscntdngrttl_nrml,5,20:00
stppsscount_nrml,9,20:00
stppsscount_nrml,10,20:00
stppsscount_nrml,11,20:00
stppsscount_nrml,12,20:00
stppsscount_nrml,13,20:00
stppsscount_nrml,14,20:00
stppsscount_nrml,15,20:00
stppsscount_nrml,16,20:00
stppsscount_nrml,17,20:00
stppsscount_nrml,18,20:00
stppsscount_nrml,19,20:00
stppsscount_nrml,20,20:00
stppsscount_nrml,21,20:00
stppsscount_nrml,22,20:00
stppsscount_nrml,23,20:00
stppsscount_nrml,24,20:00
stppsscount_nrml,25,20:00
stppsscount_nrml,26,20:00
stppsscount_nrml,27,20:00
stppsscount_nrml,28,20:00
stppsscount_nrml,29,20:00
stppsscount_nrml,30,20:00
stppsscount_nrml,31,20:00
stppsscount_nrml,32,20:00
stppsscount_nrml,33,20:00
stppsscount_nrml,34,20:00
stppsscount_nrml,35,20:00
