Event,Value,Timestamp
wrong_entry,N/A,00:14
task_advance,1,00:36
task_advance,2,01:05
danger_zone_start,operator_handler,01:15
thrshldpsscntttl_dngr,1,01:33
stppsscount_dngr,1,01:34
thrshldpsscntttl_dngr,1,01:48
stppsscount_dngr,1,01:48
stppsscount_dngr,2,01:48
stppsscount_dngr,3,01:48
stppsscount_dngr,4,01:49
thrshldpsscntttl_dngr,2,01:49
thrshldpsscntttl_dngr,3,02:02
thrshldpsscntttl_dngr,1,02:03
stppsscount_dngr,2,02:03
stppsscount_dngr,3,02:04
stppsscount_dngr,1,02:04
stppsscount_dngr,4,02:05
stppsscount_dngr,2,02:05
task_advance,3,02:10
thrshldpsscntttl_dngr,2,02:11
stppsscount_dngr,3,02:12
thrshldpsscntttl_dngr,2,02:20
danger_zone_end,operator_handler,02:21
task_advance,4,03:15
task_advance,5,03:55
danger_zone_start,ai_handler,04:05
ai_correctlogging,1,04:14
ai_correctlogging,2,04:15
thrshldpsscntttl_dngr,3,04:22
ai_incorrectlogging,1,04:22
ai_correctlogging,3,04:28
ai_correctlogging,4,04:42
thrshldpsscntttl_dngr,4,04:44
ai_incorrectlogging,2,04:44
ai_correctlogging,5,04:45
stppsscount_dngr,4,04:46
stppsscount_dngr,5,04:49
stppsscount_dngr,6,04:50
stppsscount_dngr,7,04:53
stppsscount_dngr,8,04:54
stppsscount_dngr,9,04:56
stppsscount_dngr,10,04:57
stppsscount_dngr,11,04:58
task_advance,6,04:59
stppsscount_dngr,12,05:00
thrshldpsscntttl_dngr,5,05:00
ai_incorrectlogging,3,05:00
stppsscount_dngr,13,05:03
stppsscount_dngr,14,05:04
stppsscount_dngr,15,05:05
stppsscount_dngr,16,05:07
stppsscount_dngr,17,05:08
stppsscount_dngr,18,05:11
stppsscount_dngr,19,05:12
ai_correctlogging,6,05:12
ai_correctlogging,7,05:12
ai_correctlogging,8,05:13
stppsscount_dngr,20,05:13
danger_zone_end,ai_handler,05:14
CHOICE,YES,05:40
task_advance,7,06:19
task_advance,8,07:41
danger_zone_start,ai_handler,07:52
ai_correctlogging,9,08:03
ai_correctlogging,10,08:09
ai_correctlogging,11,08:17
ai_correctlogging,12,08:17
task_advance,9,08:20
ai_correctlogging,13,08:21
ai_correctlogging,14,08:27
danger_zone_end,ai_handler,08:31
task_advance,10,08:51
end,N/A,08:51
